This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
0da4c20655c449ee8ea28f190b678f7a014a33c596c621182975ac87e4e23315 4 4 2357 5
86cd41e5fd5a7ee1e9dba8b24e8229109cc8d66bbfb3852dbcc54d31522daa14 11 11 791 317
5beee8cdb3e23324482956a1a8ef48a57ecb52edc2ef20ae713c1ac298245cb9 180 180 207559 13992
855343e2062ddc7845922fe03f6d49e05c4023bd9b52c06f4239b02182b86ad5 2 2 100 0
400a895b3180d6b8ed75586bad89ebed0339270e4f52368416bcf3c9acbd14c2 10 10 222 90
97637fad7b2226fb565fb0005fd8095a2a64c9f0c494579e8dd93540cc3a8cec 1 1 69 0
84bfda8661f38b5d192325c7c0387718c9ae646db73fcf196218ed19693b4c13 200 6 1026 1731
a445e9bb33bad217d34d554ecbb1ca08b2fdc8fa7396654b03600175b7e530a3 2 2 135 0
2b2ec3777c1e5164e5948c471fa51b4664c67081544e33ccdf17f592da3061b2 10 10 301 49
a849c44ff0f2150316cac8205cb362b79140769110f4f217d9411a6e23af69c2 9 9 1582 688
c8beb6bfd398beb3f5c46b5d147e1ff7529e95be82f43b8bc6285f855128a6bf 5 4 64 4
54fe8ceafda3d17ae2f9d8f987fd358cb90ffa3a603290919fe8b9b87db73d67 10 10 9480 409
dfc330d2e75a9054969f86d467f8420f5e2936c481fc9c5681d25c3f8af26460 6 6 149 45
fcf002e6409e8ebf72c3e675b5325b558a1a14cc5d2dfdf22d21a23858d4e71b 23 1 9 812
1cd86c7ca24eb0758d1c22843c6dc0f49cfc86e948c1535caf0cf41077d0cf0b 55 52 15960 9824
92088d080b16ba5268441565ce6d49d33546b66e3626d15f35f102f7fff1f4da 13 2 182 89
acec05dc8a30b4f3a785c604a55ef459ea9a3443eb35601e49598e7459e12d9c 55 52 15960 9824
22f0c004bacc137c4ff688c64c438b69dba9773bc22cf0f07a9f66033c21e46b 18 16 35790 26084
f27897cd757b156bd42d994c856244b0bd31a9abf944ed11b40e2c59124aa33e 5 5 1697 24
0516f005c0f15972262f12c9fdd29bded8ab54dc8fa4937ebe2b31fdeb1621bf 11 4 2742 5
019d1ef90df08ddeed9b6db2e627b3a5e23414b539fa6bb8c70e30609aa39e07 2 2 22 0
b6cfedf2f5a2c59699be5fb84bb574617fe3a186ba0af11d1cf8b9f5ea0cafe2 53 31 28248 39606
cc55f12393a9627af251e2ef96f4aed7914138e9f71f83e1c58502bdf121636a 30 30 86275 71278
9a2952aafa4f74ddcc6fd4f5abb6b180f766ebcaeae93f1d45dda49f7ca9e751 3 3 2892 31
5a6100314f1bb6efee8b40a58ea10f8595f4c64885b9331031f3febee06501d2 17 17 1826 247
eabf47f9273645deb8f482971c753bf1d6800ebdb743351586ef87fadf74d458 13 13 32660 9541
42f45be4e31333c87afd989d7240842924036b81ff2da5d85ffd5db70b69d945 24 22 62429 24850
10fd752149dc20d97337c74d541d5a70334c7e7c41ba3870873a82ad90f03f95 8 0 0 0
7ea3c401b6f9722d6c5b214c308bfe1bffd980668a52a6d0d873d5640c205a71 34 0 0 0
44d60804fdb64428ae83b33a1df8ccdfade284a1369a77f0c9e4fba8c09bd393 15 15 15537 349
ada012f691458de50bd3a10d7e3979899f7071adfb4d670116d3986fa376a2b5 23 10 30368 312
dc7481d55c8c0cfd7558324516eecda398e35f7731e8c8e89e90a83597e0dc01 2 0 0 0
0418483cbb951f5e6a2bdb0fc4eb5b04e395984c7bc2dcf3278cdc266956fe05 9 0 0 0
a3b26353f6be595b5b177fd441f88941ed25c9cf01e81de1bade52e09844ef74 12 0 0 0
e3cc2656e9d1df641a86093588bf50dca04cec52b8502d4112257b0520d8daae 16 8 16851 889
a50c739da90dc1a9c4e7f33033765bf6f8518353b1f335947fc21b36e2b0175d 15 5 1279 721
73b517a5b757de532c41e77f217e664741dbc55483365ae2bdaf14a51a681fb2 3 0 0 0
2ecd9890a4c24af121caf4b1eb0b5092cfcf98caaf50fc6c3b6a8740b03f7a0f 8 8 1646 17
7769dedf4a5f99bad85454c5b2f9cc09d01747623e88d45c2bef54557a4b7d0c 1 1 282 0
2986c38a61743019b3716b9f21a4c3069c5915cbbf9140f4c2d10bb806171d88 6621 1 27 0
6ce4d24cbb64688466ef332231a32b47383047b2dc82cf55a16cd17ae6c0c308 2 2 519 23
deff29e145d90d5136202c4b9060bbe64f579085af1f51500c2eb01bfc0300c5 2 2 853 4
